ticker,year,month,industry,assets,current_assets,non_current_assets,cash,trade_receivables,inventories,ppe,intangibles,goodwill,liabilities,current_liabilities,non_current_liabilities,debt_short_term,debt_long_term,borrowings,trade_payables,equity,equity_parent,minority_interest,issued_capital,retained_earnings,revenue,cost_of_sales,gross_profit,distribution_costs,administrative_expense,other_income,other_expense,employee_benefits,operating_income,ebit,finance_income,finance_costs,profit_before_tax,income_tax,net_income,net_income_parent,cfo,depreciation_amortization,capex,investing_cf,dividends_paid,proceeds_from_borrowings,repayment_of_borrowings,financing_cf,net_change_cash,deposits_from_customers,loans_to_customers,eps_basic,eps_diluted,shares_outstanding
FALABELLA.SN,2023,12,non_financial,23839384483.0,3474663885.0,10880768285.0,1077819144.0,453631138.0,1538539323.0,3855247147.0,942038266.0,660123340.0,16382873239.0,2237236347.0,6351414073.0,345809883.0,,345809883.0,1268072192.0,7456511244.0,6301182584.0,1155328660.0,919419389.0,5451407553.0,9355114657.0,6423567144.0,2931547513.0,186697560.0,2357878581.0,226571067.0,125990851.0,1407785505.0,487551588.0,175868820.0,46977320.0,350424957.0,175868820.0,27913013.0,188584511.0,60640788.0,1696238914.0,417230505.0,-254519015.0,-316325585.0,9032554.0,1491503957.0,-1676566340.0,-813766998.0,579303210.0,,,-0.0024,-0.0024,2508844629.0
FALABELLA.SN,2024,12,non_financial,25261840065.0,4464298404.0,11330981578.0,1638385191.0,496440453.0,1684564942.0,3909695152.0,927174369.0,687154476.0,16820286290.0,2891943375.0,6414568666.0,615774402.0,,615774402.0,1603267517.0,8441553775.0,6828367191.0,1613186584.0,919419389.0,5801292073.0,10322104478.0,6844745108.0,3477359370.0,172518138.0,2469130361.0,195716954.0,111299137.0,1439383274.0,920128688.0,631405478.0,102808226.0,350758042.0,631405478.0,200897069.0,635404389.0,480943269.0,1019006086.0,426257347.0,-166947561.0,129535202.0,59641665.0,885708772.0,-1152462098.0,-411945359.0,762994646.0,,,0.192,0.192,2508844629.0
FALABELLA.SN,2025,12,non_financial,26812998391.0,4059192900.0,12595812705.0,1584721242.0,476643518.0,1697342138.0,3940815650.0,909493070.0,694432321.0,16643138864.0,2625414884.0,5877003870.0,333719401.0,,333719401.0,1540892079.0,10169859527.0,7972297221.0,2197562306.0,919419389.0,6860714535.0,11342385896.0,7370628628.0,3971757268.0,191975740.0,2578530162.0,1367762030.0,117786300.0,1545666109.0,2451227096.0,2217358233.0,78953013.0,335429574.0,2217358233.0,535651529.0,1984315017.0,1347476767.0,1284525636.0,419465557.0,-197435764.0,-173051038.0,343895128.0,841661563.0,-1721545404.0,-1382401844.0,-280886546.0,,,0.537,0.537,2508844629.0
FORUS.SN,2012,12,non_financial,137463951.0,103050318.0,34413633.0,14786792.0,19080798.0,39356323.0,25379126.0,3185583.0,1267144.0,26022020.0,23089998.0,2932022.0,2751733.0,1920553.0,4672286.0,9401241.0,111441931.0,110418532.0,1023399.0,24242787.0,68707899.0,170767842.0,73455167.0,97312675.0,1559106.0,57622935.0,660154.0,245500.0,20772259.0,38334058.0,38605036.0,1557119.0,410815.0,38605036.0,7239408.0,31365628.0,31194225.0,28694449.0,4364079.0,-7723631.0,-14797272.0,11945319.0,21867443.0,-29480125.0,-19585604.0,-5666695.0,,,121.3516,0.0,258469000.0
FORUS.SN,2013,12,non_financial,165058275.0,116262076.0,48796199.0,8383418.0,21880727.0,48473974.0,29084804.0,12227895.0,9788457.0,29309941.0,27323322.0,1986619.0,1427075.0,1881123.0,3308198.0,12784120.0,135748334.0,134144053.0,1604281.0,24242787.0,92093067.0,193630849.0,81426550.0,112204299.0,1607588.0,67708467.0,2049895.0,366329.0,24972778.0,43964576.0,46349993.0,1854216.0,481817.0,46349993.0,8462387.0,37887606.0,37822476.0,38014799.0,5321627.0,-8900508.0,-28838620.0,13063189.0,26597548.0,-29350119.0,-15918880.0,-6403374.0,,,146.5847,146.5867,258469000.0
FORUS.SN,2014,12,non_financial,188462551.0,134864034.0,53598517.0,3863997.0,24674502.0,63969519.0,33084390.0,12139539.0,8226310.0,30184654.0,28252969.0,1931685.0,1328402.0,1891078.0,3219480.0,13644066.0,158277897.0,156627916.0,1649981.0,24242787.0,113878050.0,234206462.0,105803496.0,128402966.0,2415561.0,83638676.0,342275.0,868404.0,30369940.0,41647215.0,45381986.0,883647.0,546650.0,45381986.0,8610927.0,36771059.0,36809341.0,20952204.0,6734213.0,-9856321.0,-9870070.0,15155043.0,38298963.0,-39000265.0,-15720455.0,-4519421.0,,,142.2649,142.2649,
FORUS.SN,2015,12,non_financial,208987020.0,159661700.0,49325320.0,6542903.0,24002279.0,67669510.0,31069163.0,10550674.0,7126310.0,32393377.0,30520498.0,1872879.0,1472616.0,1865109.0,3337725.0,15149159.0,176593643.0,175231121.0,1362522.0,24242787.0,133301493.0,233395553.0,107429659.0,125965894.0,2261043.0,88772365.0,2393435.0,337312.0,32195480.0,37285200.0,41944071.0,571543.0,399446.0,41944071.0,8943287.0,33000784.0,33120924.0,33765006.0,6575671.0,-4614205.0,-20513234.0,14191486.0,35422463.0,-31755935.0,-10571031.0,2678906.0,,,127.6779,127.6779,258469000.0
FORUS.SN,2016,12,non_financial,218365056.0,172081569.0,46283487.0,4068088.0,22912020.0,73989175.0,29193449.0,8740369.0,6026310.0,27967200.0,26023687.0,1943513.0,1760920.0,1803939.0,3564859.0,12146810.0,190397856.0,189155043.0,1242813.0,24242787.0,148478839.0,241709148.0,112129869.0,129579279.0,2619603.0,92111119.0,333462.0,312672.0,33894044.0,34820855.0,34198764.0,1514110.0,366941.0,34198764.0,7802443.0,26396321.0,26791567.0,21986424.0,6197667.0,-3898181.0,-11615045.0,12683376.0,32205174.0,-32792058.0,-12948660.0,-2474815.0,,,102.1257,102.1257,258469000.0
FORUS.SN,2017,12,non_financial,236777336.0,192689953.0,44087383.0,4365036.0,22917676.0,81107972.0,29516461.0,8147406.0,6026310.0,32560279.0,30840845.0,1719434.0,2509939.0,1711367.0,4221306.0,13758364.0,204217057.0,203345324.0,871733.0,24242787.0,164526777.0,250961861.0,114536336.0,136425525.0,2757073.0,99047655.0,1523302.0,595297.0,,35213209.0,34461498.0,1156052.0,385487.0,34461498.0,7764969.0,26696529.0,26994316.0,5113073.0,5856215.0,-6328535.0,1644878.0,10558528.0,33635239.0,-29404357.0,-6340491.0,296948.0,,,103.2872,,0.0
FORUS.SN,2018,12,non_financial,251970453.0,196116780.0,55853673.0,5258872.0,23587907.0,77603656.0,41330639.0,7217006.0,5426310.0,31197606.0,29567098.0,1630508.0,2004614.0,1624700.0,3629314.0,13598897.0,220772847.0,219905866.0,866981.0,24242787.0,179742259.0,247711908.0,111862334.0,135849574.0,2859732.0,101745240.0,411947.0,83909.0,,32150737.0,34469165.0,1207960.0,403611.0,34469165.0,8918974.0,25550191.0,25587975.0,52460957.0,6296760.0,-17181067.0,-35441017.0,10678611.0,24473905.0,-30055927.0,-16325994.0,893836.0,,,,8.8521,0.0
